Date,WTFESY
5/11/2015,288
12/11/2015,300
19/11/2015,293
26/11/2015,293
3/12/2015,290
10/12/2015,285
17/12/2015,285
24/12/2015,284.25
31/12/2015,283.5
7/01/2016,282.75
14/01/2016,282
21/01/2016,279
28/01/2016,279
4/02/2016,280
11/02/2016,275
18/02/2016,275
25/02/2016,270
3/03/2016,268
10/03/2016,256
17/03/2016,256
24/03/2016,256
31/03/2016,257.6666667
7/04/2016,259.3333333
14/04/2016,261
21/04/2016,259
28/04/2016,259
5/05/2016,259
12/05/2016,262
19/05/2016,265
26/05/2016,265
2/06/2016,265
9/06/2016,268
16/06/2016,273
23/06/2016,275
30/06/2016,267
7/07/2016,261
14/07/2016,261
21/07/2016,251
28/07/2016,248
4/08/2016,244.5
11/08/2016,241
18/08/2016,236
25/08/2016,231
1/09/2016,231
8/09/2016,231
15/09/2016,231
22/09/2016,231
29/09/2016,236
6/10/2016,241
13/10/2016,246
20/10/2016,251
27/10/2016,251
3/11/2016,251
10/11/2016,249
17/11/2016,249
24/11/2016,239
1/12/2016,231.5
8/12/2016,224
15/12/2016,219
22/12/2016,219
29/12/2016,219
5/01/2017,219
12/01/2017,219
19/01/2017,214
26/01/2017,209
2/02/2017,204
9/02/2017,199
16/02/2017,204
23/02/2017,207
2/03/2017,206
9/03/2017,211
16/03/2017,211
23/03/2017,211
30/03/2017,211
6/04/2017,206
13/04/2017,206
20/04/2017,211
27/04/2017,216
4/05/2017,216
11/05/2017,216
18/05/2017,219
25/05/2017,219
1/06/2017,235
8/06/2017,239
15/06/2017,240
22/06/2017,250
29/06/2017,255
6/07/2017,269
13/07/2017,283
20/07/2017,280
27/07/2017,275
3/08/2017,270
10/08/2017,259
17/08/2017,248
24/08/2017,237
31/08/2017,232
7/09/2017,242
14/09/2017,257
21/09/2017,248
28/09/2017,273
5/10/2017,273
12/10/2017,273
19/10/2017,273
26/10/2017,258
2/11/2017,258
9/11/2017,258
16/11/2017,253
23/11/2017,253
