,Date ,WTFESY,Unnamed: 2
813,7/08/2014,278.0,
814,14/08/2014,288.0,
815,21/08/2014,283.0,
816,28/08/2014,291.0,
817,4/09/2014,286.0,
818,11/09/2014,284.0,
819,18/09/2014,284.0,
820,25/09/2014,281.0,
821,2/10/2014,276.0,
822,9/10/2014,271.0,
823,16/10/2014,276.0,
824,23/10/2014,280.0,
825,30/10/2014,285.0,
826,6/11/2014,292.0,
827,13/11/2014,299.0,
828,20/11/2014,309.0,
829,27/11/2014,306.0,
830,4/12/2014,306.0,
831,11/12/2014,306.0,
832,18/12/2014,305.0,
833,25/12/2014,306.75,
834,1/01/2015,308.5,
835,8/01/2015,310.25,
836,15/01/2015,312.0,
837,22/01/2015,310.0,
838,29/01/2015,301.0,
839,5/02/2015,299.0,
840,12/02/2015,299.0,
841,19/02/2015,299.0,
842,26/02/2015,297.0,
843,5/03/2015,293.0,
844,12/03/2015,289.0,
845,19/03/2015,291.0,
846,26/03/2015,297.0,
847,2/04/2015,297.0,
848,9/04/2015,301.0,
849,16/04/2015,301.0,
850,23/04/2015,297.0,
851,30/04/2015,299.0,
852,7/05/2015,296.0,
853,14/05/2015,293.0,
854,21/05/2015,293.0,
855,28/05/2015,289.0,
856,4/06/2015,295.0,
857,11/06/2015,298.0,
858,18/06/2015,302.0,
859,25/06/2015,297.0,
860,2/07/2015,302.0,
861,9/07/2015,312.0,
862,16/07/2015,317.0,
863,23/07/2015,316.0,
864,30/07/2015,304.0,
865,6/08/2015,304.0,
866,13/08/2015,299.0,
867,20/08/2015,291.0,
868,27/08/2015,291.0,
869,3/09/2015,281.0,
870,10/09/2015,279.0,
871,17/09/2015,277.0,
872,24/09/2015,278.0,
873,1/10/2015,278.0,
874,8/10/2015,280.0,
875,15/10/2015,285.0,
876,22/10/2015,288.0,
877,29/10/2015,288.0,
878,5/11/2015,288.0,
879,12/11/2015,300.0,
880,19/11/2015,293.0,
881,26/11/2015,293.0,
882,3/12/2015,290.0,
883,10/12/2015,285.0,
884,17/12/2015,285.0,
885,24/12/2015,284.25,
886,31/12/2015,283.5,
887,7/01/2016,282.75,
888,14/01/2016,282.0,
889,21/01/2016,279.0,
890,28/01/2016,279.0,
891,4/02/2016,280.0,
892,11/02/2016,275.0,
893,18/02/2016,275.0,
894,25/02/2016,270.0,
895,3/03/2016,268.0,
896,10/03/2016,256.0,
897,17/03/2016,256.0,
898,24/03/2016,256.0,
899,31/03/2016,257.6666666666667,
900,7/04/2016,259.3333333333333,
901,14/04/2016,261.0,
902,21/04/2016,259.0,
903,28/04/2016,259.0,
904,5/05/2016,259.0,
905,12/05/2016,262.0,
906,19/05/2016,265.0,
907,26/05/2016,265.0,
908,2/06/2016,265.0,
909,9/06/2016,268.0,
910,16/06/2016,273.0,
911,23/06/2016,275.0,
912,30/06/2016,267.0,
913,7/07/2016,261.0,
914,14/07/2016,261.0,
915,21/07/2016,251.0,
916,28/07/2016,248.0,
917,4/08/2016,244.5,
918,11/08/2016,241.0,
919,18/08/2016,236.0,
920,25/08/2016,231.0,
921,1/09/2016,231.0,
922,8/09/2016,231.0,
923,15/09/2016,231.0,
924,22/09/2016,231.0,
925,29/09/2016,236.0,
926,6/10/2016,241.0,
927,13/10/2016,246.0,
928,20/10/2016,251.0,
929,27/10/2016,251.0,
930,3/11/2016,251.0,
931,10/11/2016,249.0,
932,17/11/2016,249.0,
933,24/11/2016,239.0,
934,1/12/2016,231.5,
935,8/12/2016,224.0,
936,15/12/2016,219.0,
937,22/12/2016,219.0,
938,29/12/2016,219.0,
939,5/01/2017,219.0,
940,12/01/2017,219.0,
941,19/01/2017,214.0,
942,26/01/2017,209.0,
943,2/02/2017,204.0,
944,9/02/2017,199.0,
945,16/02/2017,204.0,
946,23/02/2017,207.0,
947,2/03/2017,206.0,
948,9/03/2017,211.0,
949,16/03/2017,211.0,
950,23/03/2017,211.0,
951,30/03/2017,211.0,
952,6/04/2017,206.0,
953,13/04/2017,206.0,
954,20/04/2017,211.0,
955,27/04/2017,216.0,
956,4/05/2017,216.0,
957,11/05/2017,216.0,
958,18/05/2017,219.0,
959,25/05/2017,219.0,
960,1/06/2017,235.0,
961,8/06/2017,239.0,
962,15/06/2017,240.0,
963,22/06/2017,250.0,
964,29/06/2017,255.0,
965,6/07/2017,269.0,
966,13/07/2017,283.0,
967,20/07/2017,280.0,
968,27/07/2017,275.0,
969,3/08/2017,270.0,
970,10/08/2017,259.0,
971,17/08/2017,248.0,
972,24/08/2017,237.0,
973,31/08/2017,232.0,
974,7/09/2017,242.0,
975,14/09/2017,257.0,
976,21/09/2017,248.0,
977,28/09/2017,273.0,
978,5/10/2017,273.0,
979,12/10/2017,273.0,
980,19/10/2017,273.0,
981,26/10/2017,258.0,
982,2/11/2017,258.0,
983,9/11/2017,258.0,
984,16/11/2017,253.0,
985,23/11/2017,253.0,
986,30/11/2017,258.0,
